Date,Stock,Price,YTD_Avg,Moving_Avg_6
2022-01-01,AAPL,170,170,170
2022-01-02,AAPL,172,171,171
2022-01-03,AAPL,171,171,171
2022-01-04,AAPL,174,171.75,171.75
2022-01-05,AAPL,176,172.6,172.6
2022-01-06,AAPL,175,173,173
2022-01-07,AAPL,178,173.71428571428572,174.33333333333334
2022-01-08,AAPL,180,174.5,175.66666666666666
2022-01-09,AAPL,179,175,177
2022-01-10,AAPL,182,175.7,178.33333333333334
2022-01-11,AAPL,184,176.45454545454547,179.66666666666666
2022-01-12,AAPL,183,177,181
2022-01-13,AAPL,185,177.6153846153846,182.16666666666666
2022-01-14,AAPL,187,178.28571428571428,183.33333333333334
2022-01-15,AAPL,186,178.8,184.5
2022-01-16,AAPL,189,179.4375,185.66666666666666
2022-01-17,AAPL,191,180.11764705882354,186.83333333333334
2022-01-18,AAPL,190,180.66666666666666,188
2022-01-19,AAPL,193,181.31578947368422,189.33333333333334
2022-01-20,AAPL,195,182,190.66666666666666
2022-01-21,AAPL,194,182.57142857142858,192
2022-01-22,AAPL,197,183.22727272727272,193.33333333333334
2022-01-23,AAPL,199,183.91304347826087,194.66666666666666
2022-01-24,AAPL,198,184.5,196
2022-01-25,AAPL,201,185.16,197.33333333333334
2022-01-26,AAPL,203,185.84615384615384,198.66666666666666
2022-01-27,AAPL,202,186.44444444444446,200
2022-01-28,AAPL,205,187.10714285714286,201.33333333333334
2022-01-29,AAPL,207,187.79310344827587,202.66666666666666
2022-01-30,AAPL,206,188.4,204
2022-01-01,MSFT,310,310,310
2022-01-02,MSFT,312,311,311
2022-01-03,MSFT,311,311,311
2022-01-04,MSFT,314,311.75,311.75
2022-01-05,MSFT,316,312.6,312.6
2022-01-06,MSFT,315,313,313
2022-01-07,MSFT,318,313.7142857142857,314.3333333333333
2022-01-08,MSFT,320,314.5,315.6666666666667
2022-01-09,MSFT,319,315,317
2022-01-10,MSFT,322,315.7,318.3333333333333
2022-01-11,MSFT,324,316.45454545454544,319.6666666666667
2022-01-12,MSFT,323,317,321
2022-01-13,MSFT,325,317.61538461538464,322.1666666666667
2022-01-14,MSFT,327,318.2857142857143,323.3333333333333
2022-01-15,MSFT,326,318.8,324.5
2022-01-16,MSFT,329,319.4375,325.6666666666667
2022-01-17,MSFT,331,320.11764705882354,326.8333333333333
2022-01-18,MSFT,330,320.6666666666667,328
2022-01-19,MSFT,333,321.3157894736842,329.3333333333333
2022-01-20,MSFT,335,322,330.6666666666667
2022-01-21,MSFT,334,322.57142857142856,332
2022-01-22,MSFT,337,323.22727272727275,333.3333333333333
2022-01-23,MSFT,339,323.9130434782609,334.6666666666667
2022-01-24,MSFT,338,324.5,336
2022-01-25,MSFT,341,325.16,337.3333333333333
2022-01-26,MSFT,343,325.84615384615387,338.6666666666667
2022-01-27,MSFT,342,326.44444444444446,340
2022-01-28,MSFT,345,327.10714285714283,341.3333333333333
2022-01-29,MSFT,347,327.7931034482759,342.6666666666667
2022-01-30,MSFT,346,328.4,344
