"Date","Stock","Price"
2022-01-01,"AAPL",170
2022-01-02,"AAPL",172
2022-01-03,"AAPL",171
2022-01-04,"AAPL",174
2022-01-05,"AAPL",176
2022-01-06,"AAPL",175
2022-01-07,"AAPL",178
2022-01-08,"AAPL",180
2022-01-09,"AAPL",179
2022-01-10,"AAPL",182
2022-01-11,"AAPL",184
2022-01-12,"AAPL",183
2022-01-13,"AAPL",185
2022-01-14,"AAPL",187
2022-01-15,"AAPL",186
2022-01-16,"AAPL",189
2022-01-17,"AAPL",191
2022-01-18,"AAPL",190
2022-01-19,"AAPL",193
2022-01-20,"AAPL",195
2022-01-21,"AAPL",194
2022-01-22,"AAPL",197
2022-01-23,"AAPL",199
2022-01-24,"AAPL",198
2022-01-25,"AAPL",201
2022-01-26,"AAPL",203
2022-01-27,"AAPL",202
2022-01-28,"AAPL",205
2022-01-29,"AAPL",207
2022-01-30,"AAPL",206
2022-01-01,"MSFT",310
2022-01-02,"MSFT",312
2022-01-03,"MSFT",311
2022-01-04,"MSFT",314
2022-01-05,"MSFT",316
2022-01-06,"MSFT",315
2022-01-07,"MSFT",318
2022-01-08,"MSFT",320
2022-01-09,"MSFT",319
2022-01-10,"MSFT",322
2022-01-11,"MSFT",324
2022-01-12,"MSFT",323
2022-01-13,"MSFT",325
2022-01-14,"MSFT",327
2022-01-15,"MSFT",326
2022-01-16,"MSFT",329
2022-01-17,"MSFT",331
2022-01-18,"MSFT",330
2022-01-19,"MSFT",333
2022-01-20,"MSFT",335
2022-01-21,"MSFT",334
2022-01-22,"MSFT",337
2022-01-23,"MSFT",339
2022-01-24,"MSFT",338
2022-01-25,"MSFT",341
2022-01-26,"MSFT",343
2022-01-27,"MSFT",342
2022-01-28,"MSFT",345
2022-01-29,"MSFT",347
2022-01-30,"MSFT",346
