"player_num","round_num","opponent_num"
1,1,39
1,2,21
1,3,18
1,4,14
1,5,7
1,6,12
1,7,4
2,1,63
2,2,58
2,3,4
2,4,17
2,5,16
2,6,20
2,7,7
3,1,8
3,2,61
3,3,25
3,4,21
3,5,11
3,6,13
3,7,12
4,1,23
4,2,28
4,3,2
4,4,26
4,5,5
4,6,19
4,7,1
5,1,45
5,2,37
5,3,12
5,4,13
5,5,4
5,6,14
5,7,17
6,1,34
6,2,29
6,3,11
6,4,35
6,5,10
6,6,27
6,7,21
7,1,57
7,2,46
7,3,13
7,4,11
7,5,1
7,6,9
7,7,2
8,1,3
8,2,32
8,3,14
8,4,9
8,5,47
8,6,28
8,7,19
9,1,25
9,2,18
9,3,59
9,4,8
9,5,26
9,6,7
9,7,20
10,1,16
10,2,19
10,3,55
10,4,31
10,5,6
10,6,25
10,7,18
11,1,38
11,2,56
11,3,6
11,4,7
11,5,3
11,6,34
11,7,26
12,1,42
12,2,33
12,3,5
12,4,38
12,6,1
12,7,3
13,1,36
13,2,27
13,3,7
13,4,5
13,5,33
13,6,3
13,7,32
14,1,54
14,2,44
14,3,8
14,4,1
14,5,27
14,6,5
14,7,31
15,1,19
15,2,16
15,3,30
15,4,22
15,5,54
15,6,33
15,7,38
16,1,10
16,2,15
16,4,39
16,5,2
16,6,36
17,1,48
17,2,41
17,3,26
17,4,2
17,5,23
17,6,22
17,7,5
18,1,47
18,2,9
18,3,1
18,4,32
18,5,19
18,6,38
18,7,10
19,1,15
19,2,10
19,3,52
19,4,28
19,5,18
19,6,4
19,7,8
20,1,40
20,2,49
20,3,23
20,4,41
20,5,28
20,6,2
20,7,9
21,1,43
21,2,1
21,3,47
21,4,3
21,5,40
21,6,39
21,7,6
22,1,64
22,2,52
22,3,28
22,4,15
22,6,17
22,7,40
23,1,4
23,2,43
23,3,20
23,4,58
23,5,17
23,6,37
23,7,46
24,1,28
24,2,47
24,3,43
24,4,25
24,5,60
24,6,44
24,7,39
25,1,9
25,2,53
25,3,3
25,4,24
25,5,34
25,6,10
25,7,47
26,1,49
26,2,40
26,3,17
26,4,4
26,5,9
26,6,32
26,7,11
27,1,51
27,2,13
27,3,46
27,4,37
27,5,14
27,6,6
28,1,24
28,2,4
28,3,22
28,4,19
28,5,20
28,6,8
28,7,36
29,1,50
29,2,6
29,3,38
29,4,34
29,5,52
29,6,48
30,1,52
30,2,64
30,3,15
30,4,55
30,5,31
30,6,61
30,7,50
31,1,58
31,2,55
31,3,64
31,4,10
31,5,30
31,6,50
31,7,14
32,1,61
32,2,8
32,3,44
32,4,18
32,5,51
32,6,26
32,7,13
33,1,60
33,2,12
33,3,50
33,4,36
33,5,13
33,6,15
33,7,51
34,1,6
34,2,60
34,3,37
34,4,29
34,5,25
34,6,11
34,7,52
35,1,46
35,2,38
35,3,56
35,4,6
35,5,57
35,6,52
35,7,48
36,1,13
36,2,57
36,3,51
36,4,33
36,6,16
36,7,28
37,2,5
37,3,34
37,4,27
37,6,23
37,7,61
38,1,11
38,2,35
38,3,29
38,4,12
38,6,18
38,7,15
39,1,1
39,2,54
39,3,40
39,4,16
39,5,44
39,6,21
39,7,24
40,1,20
40,2,26
40,3,39
40,4,59
40,5,21
40,6,56
40,7,22
41,1,59
41,2,17
41,3,58
41,4,20
42,1,12
42,2,50
42,3,57
42,4,60
42,5,61
42,6,64
42,7,56
43,1,21
43,2,23
43,3,24
43,4,63
43,5,59
43,6,46
43,7,55
44,2,14
44,3,32
44,4,53
44,5,39
44,6,24
44,7,59
45,1,5
45,2,51
45,3,60
45,4,56
45,5,63
45,6,55
45,7,58
46,1,35
46,2,7
46,3,27
46,4,50
46,5,64
46,6,43
46,7,23
47,1,18
47,2,24
47,3,21
47,4,61
47,5,8
47,6,51
47,7,25
48,1,17
48,2,63
48,4,52
48,6,29
48,7,35
49,1,26
49,2,20
49,3,63
49,4,64
49,5,58
50,1,29
50,2,42
50,3,33
50,4,46
50,6,31
50,7,30
51,1,27
51,2,45
51,3,36
51,4,57
51,5,32
51,6,47
51,7,33
52,1,30
52,2,22
52,3,19
52,4,48
52,5,29
52,6,35
52,7,34
53,2,25
53,4,44
53,6,57
54,1,14
54,2,39
54,3,61
54,5,15
54,6,59
54,7,64
55,1,62
55,2,31
55,3,10
55,4,30
55,6,45
55,7,43
56,2,11
56,3,35
56,4,45
56,6,40
56,7,42
57,1,7
57,2,36
57,3,42
57,4,51
57,5,35
57,6,53
58,1,31
58,2,2
58,3,41
58,4,23
58,5,49
58,7,45
59,1,41
59,3,9
59,4,40
59,5,43
59,6,54
59,7,44
60,1,33
60,2,34
60,3,45
60,4,42
60,5,24
61,1,32
61,2,3
61,3,54
61,4,47
61,5,42
61,6,30
61,7,37
62,1,55
63,1,2
63,2,48
63,3,49
63,4,43
63,5,45
64,1,22
64,2,30
64,3,31
64,4,49
64,5,46
64,6,42
64,7,54
