"users_name","movie_title","rating","rating_status"
"aly","Michael",5,"5"
"aly","Michael",5,"5"
"aly","Minions & Monsters",5,"5"
"aly","spider man brand new day",5,"5"
"aly","The Odyssey",NA,"Not Seen"
"aly","The Odyssey",NA,"Not Seen"
"aly","The Super Mario Galaxy Movie",NA,"Not Seen"
"aly","The Super Mario Galaxy Movie",NA,"Not Seen"
"aly","Toy Story 5",3,"3"
"aly","Toy Story 5",3,"3"
"church","Michael",4,"4"
"church","Michael",4,"4"
"church","Minions & Monsters",NA,"Not Seen"
"church","Minions & Monsters",NA,"Not Seen"
"church","spider man brand new day",5,"5"
"church","spider man brand new day",5,"5"
"church","The Odyssey",NA,"Not Seen"
"church","The Odyssey",NA,"Not Seen"
"church","The Super Mario Galaxy Movie",NA,"Not Seen"
"church","The Super Mario Galaxy Movie",NA,"Not Seen"
"church","Toy Story 5",5,"5"
"lionel","Michael",NA,"Not Seen"
"lionel","Michael",NA,"Not Seen"
"lionel","Minions & Monsters",3,"3"
"lionel","Minions & Monsters",3,"3"
"lionel","spider man brand new day",5,"5"
"lionel","The Odyssey",4,"4"
"lionel","The Super Mario Galaxy Movie",NA,"Not Seen"
"lionel","The Super Mario Galaxy Movie",NA,"Not Seen"
"lionel","Toy Story 5",5,"5"
"MIKE","Michael",3,"3"
"MIKE","Minions & Monsters",NA,"Not Seen"
"MIKE","Minions & Monsters",NA,"Not Seen"
"MIKE","spider man brand new day",4,"4"
"MIKE","The Odyssey",5,"5"
"MIKE","The Super Mario Galaxy Movie",NA,"Not Seen"
"MIKE","The Super Mario Galaxy Movie",NA,"Not Seen"
"MIKE","Toy Story 5",NA,"Not Seen"
"MIKE","Toy Story 5",NA,"Not Seen"
"paul","Michael",NA,"Not Seen"
"paul","Michael",NA,"Not Seen"
"paul","Minions & Monsters",5,"5"
"paul","spider man brand new day",5,"5"
"paul","The Odyssey",NA,"Not Seen"
"paul","The Odyssey",NA,"Not Seen"
"paul","The Super Mario Galaxy Movie",4,"4"
"zege","Michael",2,"2"
"zege","Michael",2,"2"
"zege","Minions & Monsters",NA,"Not Seen"
"zege","Minions & Monsters",NA,"Not Seen"
"zege","spider man brand new day",5,"5"
"zege","The Odyssey",NA,"Not Seen"
"zege","The Odyssey",NA,"Not Seen"
"zege","The Super Mario Galaxy Movie",NA,"Not Seen"
"zege","The Super Mario Galaxy Movie",NA,"Not Seen"
"zege","Toy Story 5",1,"1"
